"decile","counts","min_prob","max_prob","churn_cnt","non_churn_cnt"
10,4000,0.615540084527196,0.979056418904793,2644,1356
9,4000,0.573480109638908,0.615532030476846,2395,1605
8,4000,0.546130720219707,0.573472891507836,2332,1668
7,4000,0.523404507837923,0.546122568230788,2186,1814
6,4000,0.502239918754233,0.523395761658147,2063,1937
5,4000,0.480040804977963,0.502230678428798,1950,2050
4,4000,0.455792342046353,0.480038977401096,1836,2164
3,4000,0.423897665298006,0.455785607551496,1744,2256
2,4000,0.376543540093164,0.423897100812889,1555,2445
1,4000,0.126003297514744,0.376484184104845,1295,2705
